ITC Guard,,3071
Itiliti Health,"Our innovative, flexible platform is built to streamline and automate the prior authorization process, enabling a touchless solution. With an open-API framework, our products can operate as a comprehe...",1770
J Michael Consulting,"Since our founding J Michael Consulting (JMC) has made a mark on public health informatics, working with The Association of Public Health Laboratories (APHL), The Centers for Disease Control and Preve...",CD-20
J2 Interactive,"J2 Interactive, two-time recipient of Best in KLAS for Technical Services, is an award-winning consulting firm with over 200 healthcare IT experts in the US, Europe and the Middle East. With over 20 y...",220
Jabra,"Hej. (That’s 'hi' in Danish.) We’re Jabra and we’ve been engineering technology that makes life look and sound better for over 150 years. And you? Well, you might be running a million-dollar account f...",1672
Jamf,"Jamf helps healthcare organizations succeed with Apple. By enabling IT and IS to manage and secure devices with ease, we enable transformative solutions for productivity, patient experience, clinical ...",1144
JardogsHealth,"Founded to close the gap between documentation and reimbursement, JardogsHealth goes beyond ambient AI transcription. Our enterprise-ready platform transforms patient-provider conversations into struc...",2567
Junction,Junction offers an API for lab testing and wearables data integration for 500+ wearable devices and lab results across all 50 US states. A single connection with Junction's API supports pulling struct...,3771
Juno Health,"Healthcare IT is broken. We’re fixing it. Juno Health was born because technology providers had fallen behind, leaving clinicians with dysfunctional solutions developed decades ago. Instead of facilit...",5431
Karta Healthcare,"Karta Healthcare has been developed with a singular vision: to improve healthcare environments through better product design. As an Australian-based company, we believe in the power of high-quality, l...",3062
Kensington,"Headquartered in Burlingame, California, Kensington is the inventor and worldwide leader in laptop security locks, privacy screens, ergonomic products, headsets, docking solutions, biometric fingerpri...",4200
Key Source International,KSI delivers award-winning healthcare keyboards and peripherals that serve as powerful shields against insider threats and data breaches. Our distinctive range of keyboards and pods offer user secu...,5421
KeyReply,KeyReply delivers AI voice and chat automation purpose-built for healthcare. Our platform helps organizations improve patient access and engagement while reducing administrative burden—answering commo...,10018-39
Kimetec GmbH,,4058
Kiosk Association - The Industry Group (TIG),"The Industry Group (TIG) is the global authority in self-service and automation. Since 1998, we have bridged the gap between clinical needs and technology, representing companies across the Americas, ...",3461
KIOSK Information Systems,"KIOSK provides self-service automation solutions to increase operational and cost efficiencies, while enhancing the customer experience. With more than 30 years of experience and over 250,000 kiosks d...",5647
Kitten Playground,"This delightful space is designed to put a smile on every attendee’s face, making it an irresistible stop on the show floor. Come unwind, cuddle with furry friends, and enjoy a moment of pure happines...",11611
Kitware,"Kitware advances science and technology to make a meaningful difference in the world. We deliver high-impact software solutions built on open source foundations, combining deep technical expertise wit...",6353
KLAS,"KLAS has been providing accurate, honest, and impartial insights for the healthcare IT (HIT) industry since 1996. The KLAS mission is to improve the world’s healthcare by amplifying the voice of provi...",3535
Kno2,Kno2 is leading the future of healthcare communication by providing the nation’s largest comprehensive communication network including as a federally designated Qualified Health Information Network (Q...,12720
Kognitos,"Kognitos is the leader in AI-native automation, enabling enterprises to automate complex business and IT operations using plain English. Built on a neurosymbolic architecture, we combine the reasoning...",4002
Komprise,"Komprise is an intelligent, storage-agnostic unstructured data management platform that helps healthcare organizations like hospitals and pathology labs control exploding volumes of medical images, re...",6635
Konica Minolta Healthcare,"Konica Minolta Healthcare introduces Exa® Teleradiology, Powered by NewVue, designed for distributed reading environments utilizing an AI-powered Radiology Workflow Orchestrator that overcomes the lim...",1664
Kontakt.Io,"As the leader in Inpatient Journey Analytics, Kontakt.io creates responsive health systems that anticipate and adapt to constantly changing operational demands and human needs. We optimize processes a...",1961
Kontron,"Kontron, a global leader in embedded medical technology and local electronics manufacturing services, delivers ISO 13485-certified solutions for imaging, life sciences, and surgical applications. With...",823
Korchek Technologies,"Korchek Technologies has been a trusted partner to hospitals, health systems, laboratories, and blood banks for 30 years, delivering data conversions, archiving, regulatory validations, implementation...",2864
Kore.ai,Kore.ai is a global leader in enterprise conversational AI platform and solutions helping enterprises automate voice and digital interactions that deliver extraordinary experiences for their customers...,10227
Kudelski Security,"We provide innovative cybersecurity solutions that reduce exposure, stop threats, and respond before business impact. Partner with us for continuous protection across your entire digital ecosystem.",10304
"Kyndryl, Inc.","Kyndryl works at the core of businesses that move the world. With a global network of experts serving customers in over 60 countries, we design, build, manage and modernize the mission-critical techno...",2812
Lana Health,"Lana Health's smart patient room platform uses AI-powered ambient intelligence and two-way audio/video with computer vision to transform patient rooms, helping improve patient safety and reduce clinic...",3264-18
LanguageLine Solutions,"LanguageLine Solutions® has been the global leader in language access innovation for over 40 years. We support critical communication across health care, setting the global standard for secure audio, ...",672
Latam Pavilion,,2873
Lateetud,"Lateetud, an award-winning company, provides a distinctive value proposition for Digital Transformation and Operational Excellence. By harnessing advanced technologies such as AI, Cloud, Process Autom...",4306
Latin America Lounge,"For the first time in history, the HIMSS Global Conference will feature a VIP space created by Latin America, for everyone. Our leaders and changemakers, our challenges and opportunities, our culture...",6449
Layer Health,"Layer Health is a cutting-edge healthcare AI company whose LLM-powered platform helps health systems automate data abstraction across large volumes of structured and unstructured EHR data, enabling fa...",717-19
Leap of Faith Technologies,"Leap of Faith Technologies is a digital health informatics company that licenses tools and technologies, and supports startup and early-stage digital health companies to enable commercialization and a...",1035
Legacy Data Access,"LDA is an inventive healthcare data management company transforming how U.S. healthcare providers protect and leverage their data assets. From its origins in healthcare data archiving, LDA has evolved...",3623
Leidos,Leidos is an innovation company rapidly addressing the world’s most vexing challenges in national security and health. We collaborate to create smarter technology solutions for customers in heavily re...,1022
Lenovo Inc,Lenovo Solutions for Healthcare & Life Sciences are powering the future of healthcare technology to transform the experiences of patients who receive care and the providers who deliver it. From server...,3919
LexisNexis Risk Solutions,,2843
LexisNexis Risk Solutions Government,"LexisNexis® Risk Solutions empowers government healthcare agencies with advanced data analytics to improve outcomes, verify eligibility, and prevent fraud. Our solutions support person-centered care c...",MP11754
"Liberty Solutions, Inc.","At Liberty Solutions, we don’t just provide consultation; we build partnerships. Our commitment is to your success, ensuring that your healthcare IT projects are not only completed on time and within ...",3722
Life Systems International,"LSI is an Cardiac and Pulmonary Rehabilitation Telemetry Monitoring and Patient Documentation System. The LSI System offers multiple options for interfacing including enterprise-level HL7, Charges, an...",453
lifespin GmbH,Lifespin enables proactive health management through metabolomic digital profiles with 200+ parameters from a single blood sample. Our AI-driven platform offers unbiased insights on a multitude of hea...,4058
Lightbeam Health Solutions,"Lightbeam Health is a proven, AI-enabled platform, solutions, and services leader for population health management. Lightbeam’s AI-enabled population health platform arms payers and providers with the...",4053
Limbic,"Limbic offers patient and provider-facing clinical AI tools for behavioral health triage, and ongoing care. Our evidence-based tools improve not just operational efficiency but also patient outcomes...",10822
Limina,"Limina (formerly Private AI) helps enterprises unlock the value of their most sensitive data. Our context-aware AI de-identifies PII, PHI, and PCI across 50+ entity types and 52 languages, ensuring yo...",10001-05
Lincata,"Lincata’s Bedside Operating System (OS) transforms hospital televisions into digital experience tools that launch MyChart® Bedside TV directly in-room. It’s simple. LincTV by Lincata, coupled with ...",1365
"LiNK One Technologies, Inc.","LiNK One Technologies, Inc. is redefining the hospital room with LiNK – The Smart Room Platform, a unified ecosystem designed to improve the healthcare experience for patients, nurses, and leaders. Bu...",5236
Litum,"Litum’s Healthcare RTLS solutions, powered by hybrid UWB and BLE technology, enhance security and efficiency in hospitals, clinics, and senior living centers with tamper-proof security, scalability, a...",3915
LIVEMED Telehealth,We are a physician-led health technology company that blends the expertise of clinicians with cutting-edge technology to transform healthcare delivery. Our approach combines deep medical insights with...,6049
Locate Global,"Locate Global is a workforce safety and incident management platform helping healthcare organisations protect staff across hospitals, clinics, and community settings. We provide real time visibility o...",1119
"Locumsmart, LLC","Locumsmart is the only VMS solution built for locums. We understand the unique needs and challenges of locums and can help you by bringing together the right people, technology, and expertise in your ...",1419
LRQA,"We work with our clients to quantify their cybersecurity risks and implement end-to-end proactive strategies that mitigate, manage and combat these risks across their entire organization. LRQA allows...",10001-32
LRS Output Management,"LRS Output Management is the leading provider of print management solutions used in 80% of the country’s largest healthcare systems. Each year, our software delivers more than 1.5 billion print jobs f...",6239
Lumenix,,867
"Lund Industries, Inc.","Lund Industries, a family-owned business with over 40 years of experience in mechanical design and engineering, manufactures a wide range of mobile computer carts. Our DATACART™ line offers ergonomic...",4010
"Machan International Co., Ltd","Established in 1976, Machan has over 50 years of expertise in sheet metal manufacturing, serving sectors like automotive, medical, hand tools, education, and logistics. Our core capabilities include a...",1258
Magical,"Agentic AI for healthcare operations. Run automations reliably at scale. The Magical platform fully automates clinical, administrative, and revenue cycle workflows with AI agents tailored to your sys...",10018-23
Main Stage,Join industry leaders for dynamic presentations on groundbreaking ideas shaping the future of healthcare technology and sparking thought-provoking discussions. The Main Stage is the focal point of the...,270
Man & Machine Inc,"Man & Machine, Inc., founded in 1982, is a leading USA based manufacturer of waterproof, washable wired & wireless keyboards and mice that are designed to complement infection control protocols in den...",927
ManageEngine (A Division of Zoho Corp),"ManageEngine is a division of Zoho Corporation and a leading provider of IT management solutions for organizations across the world. With a powerful, flexible, and Al-powered digital enterprise manage...",446
Management Health Services,"Management Health Services partners with hospitals and healthcare organizations to deliver secure, reliable IT operations. We connect health systems with experienced IT professionals and operational s...",1117
Marvix AI,Marvix AI is an ambient AI assistant for Specialty Care. It combines patient conversations with the patient’s historical record from the EHR to create structured clinical notes in your writing style a...,2072
Masimo,"Masimo is a global medical technology company that produces industry-leading hospital and home monitoring technologies, including measurements, sensors, patient monitors, and connectivity, automation,...",2839
MaxRemind Inc.,"MaxRemind Inc. is one of the top-tier healthcare solution providers in the US that offers medical billing, coding, credentialing, EHR, and other healthcare-related services. With 20 years of experienc...",1871
Mayo Clinic Platform,"Mayo Clinic Platform, a critical embodiment of Mayo Clinic's Bold. Forward. vision to transform healthcare, brings together healthcare providers, pharmaceutical companies, medical device companies, he...",MP11159
MCG Health,"MCG Health, part of the Hearst Health network, is the industry’s source of truth in AI technology and evidence-based guidelines. As an Associate Member of the HL7® Da Vinci Project since 2019, MCG is ...",6232
MD-Staff,"MD-Staff is a comprehensive medical staff management solution that streamlines provider credentialing, privileging, and enrollment for healthcare organizations. Leveraging intelligent automation and A...",2170
MDClone,"MDClone is a global leader in healthcare data technology innovation, offering a suite of technologies for data analysis and synthetic data generation. Whether establishing learning health systems, t...",10319
Med Tech Solutions,"Med Tech Solutions (MTS) is a Managed Services Provider delivering comprehensive IT and EHR support to healthcare organizations nationwide. With a singular focus on healthcare technology, MTS empowers...",5448
"MedAllies, Inc.","MedAllies, a Centauri offering, securely delivers vital health information to impact care by operating multiple national networks supporting interoperability for all healthcare constituents. We serve ...","4464, CD-17, MP11347"
Medallion,"Medallion is the only AI-assisted credentialing and enrollment platform with expert oversight — built to deliver speed and accuracy at scale, with contract-backed performance. Healthcare organizations...",2859
Medbillytics,"MedBillytics provides comprehensive revenue cycle management for medical practices, including expert billing, accurate coding, advanced analytics, and full-service call center operations. In today’s c...",12123
MedDream,"MedDream html5 zero-footprint DICOM Viewer is vendor neutral and ready to be integrated into PACS/VNA, HIS/RIS, EHR/EMR, Telemedicine, Patient Portals, eHealth, Cloud, CAD and AI algorithms. MedDream ...",4841
Medesto Health,"Transforming Specialty Therapy Outcomes at Scale. Automated clinical intelligence and real-time patient engagement that is purpose-built for payers, providers, pharmacies, and pharma.",874
"MedEvolve, LLC",MedEvolve empowers healthcare organizations with award-winning Effective Intelligence®(Ei) solutions. MedEvolve’s Ei solutions include workforce automation and AI-powered analytics designed to optimiz...,4400-14
Medical University of South Carolina - Department of Healthcare Leadership & Management,"The College of Health Professions (CHP) at the Medical University of South Carolina is a national leader in health professions education, research, and discovery. For more than 50 years, CHP has educa...",420
MedicaSoft,"MedicaSoft is an established provider of cloud-based healthcare data solutions for HIEs, providers, and payers. Our high-performance NXT Platform is built on the HL7 FHIR standard, containing a native...",4400-13
"Medicomp Systems, Inc.","Medicomp Systems delivers the industry's only comprehensive clinical data foundation, powering intelligent systems through its evidence-based Clinical Intelligence Engine, Quippe®. Healthcare faces a ...",5435
"MediQuant, LLC","MediQuant is the leader in enterprise active archiving for hospitals, health systems, government, and tribal organizations. DataArk®, MediQuant’s flagship product, enables the retirement of legacy cli...",2856
MEDITECH,"MEDITECH empowers healthcare organizations to expand their vision of what’s possible with Expanse, the intelligent EHR. Expanse provides a future-ready foundation that leverages the power of AI, cloud...","12623, 5031"
Medix Technology,"Delivering technology solutions that scale with your vision for healthcare and your organization. Technology is only as impactful as the people and partnerships behind it. For 20+ years, we’ve focu...",4400-12
MedSec,"As the global leader in medical device product security services, we empower companies to navigate the evolving landscape of cybersecurity with confidence. Our highly qualified and experienced team br...",10903
Medsol,,6443
Merch Shop,"Informa is home to dozens of different brands and businesses. What we all share is a focus on connecting people, connecting knowledge and connecting ideas. Informa's events, digital products and acade...",Merch Store
Merge,"Merge empowers healthcare organizations with advanced medical imaging solutions to enhance workflows, optimize care delivery, and improve patient outcomes. Trusted by 6 of the 10 largest U.S. health s...",4635
Metric Insights,"Metric Insights’ Business Intelligence Portal integrates all your BI tools, reporting, and metrics into a consolidated catalog of governed and certified assets. Drive engagement with BI by making it s...",5849
Metriport,"Metriport transforms fragmented patient data into actionable clinical intelligence, delivering comprehensive medical summaries in minutes. Our open-source platform aggregates patient data from hundred...",1018
MicroGrid Power,,3661
Microsoft Corporation,"Microsoft for Healthcare provides trusted and integrated capabilities that makes it easier for organizations to create personalized patient experiences, gives health teams connected and secure collabo...","2812, Room 308, Room 309 + 1 more"
Midmark RTLS,"Through multiple locating technologies, the Midmark CareFlow™ real-time locating system (RTLS) delivers location data and actionable information to help guide healthcare operations so that staff can f...",MP11348
Milliman MedInsight,Milliman MedInsight® empowers healthcare organizations to drive better outcomes and maximize value-based care performance through unmatched data confidence and reliability. As a trusted partner in the...,4413
MiloX Robotics,Milo-X Robotics provides AI-powered mobile robots that streamline critical logistics for diverse service environments like healthcare and hospitality. Our systems empower your team to focus exclusiv...,5155
Mindbowser,"Mindbowser is a HealthTech Consulting company which blends deep clinical expertise with top-tier engineering to deliver tailored, AI-driven, interoperable, and compliant digital health solutions. With...",12511-04
Mindray,"At Mindray, we rise up to meet the highest standards possible because we believe everyone deserves access to quality healthcare. Mindray delivers efficient interoperability solutions that enable seaml...",5636
Mindsprint,"Mindsprint engineers secure, AI-first platforms for healthcare and life sciences enterprises. We combine healthcare data engineering, AI/AGI, enterprise applications, and cybersecurity to modernize co...",10018-01
Mindwave Medical,"MindWave Medical is a healthcare startup pioneering a silent revolution hospital alarm systems. By shifting alarms from loud speakers, to smart wearables, it quiets bedside noise, combats alarm fatigu...",717-13
Minitab,"For nearly 50 years, Minitab has helped companies and institutions spot trends, solve problems and discover valuable insights in data by delivering a comprehensive and best-in-class suite of data anal...",10124
Mitel,"Mitel powers communication for over 70 million users worldwide, including leading healthcare organizations that demand more from their technology. We empower healthcare organizations to deliver ex...",12407
Mobile Heartbeat,"Mobile Heartbeat offers a clinical communication and collaboration solution (CC&C) to securely engage colleagues across every department resulting in accelerated decision-making, improved care deliver...",4213
"Mobile Integrate, Inc.",Mobile Integrate is a technology integrator that enables the successful execution of the clinical mobility strategy. Our team brings clarity to the technical complexity and consults with IT and Clinic...,6637
"Modernsolid Industrial Co., Ltd","Modernsolid, a Taiwanese company founded in 1989, is an ergonomic manufacturer. We design and manufacture ergonomic products for workspace, healthcare, industrial, education, and public spaces. For...",1458
Modius,"Modius delivers real-time, scalable infrastructure management software purpose-built for critical facilities—from data centers to telecom, smart buildings, and beyond. Our flagship platform, OpenData®...",6342
ModMed,ModMed® delivers the AI-Powered Practice through its award-winning EMA® EHR and a comprehensive all-in-one practice solution. By embedding physician-coded medical knowledge into a natively built AI pl...,864
MOKO SMART,"MOKO Technology Ltd. is a leading manufacturer and provider of ODM, OEM, and IoT devices in China. In 2013, MOKO Technology Ltd. established the R&D Center and created its own IoT brand – MOKO SMART, ...",1667
Monnit,"Monnit provides wireless sensing solutions for research, medical, and laboratory applications. We monitor temperature, humidity, low-temperature conditions (-80°C), air velocity, differential air pres...",4564
MorganFranklin Consulting,"MorganFranklin Cyber is a premier advisory, consulting, and managed services firm dedicated to securing digital transformation for organizations across industries. With a growing portfolio spanning cy...",10001-12
Mount-It!,"Founded in 2006, we have been dedicated to serving the healthcare sector with our range of wall-mounted computer workstations, mobile laptop carts, office desks and accessories, and display mounting s...",3053
Moxe Health,"Moxe connects the healthcare ecosystem with high quality, meaningful data to drive better outcomes. Compatible with the leading EHRs, Moxe improves collaboration by simplifying the way providers secur...",4102
MSI,"MSI is a world leader in AI PC, gaming, content creation, business & productivity and AIoT solutions. Bolstered by its cutting-edge R&D capabilities and customer-driven innovation, MSI has a wide-rang...",743
MTEG,"MTEG builds AI platforms to archive, analyze, and search surgical videos for smarter clinical workflows.",4964
MuleSoft,"MuleSoft is a leading provider of integration and API solutions, empowering organizations to connect applications, data, and devices seamlessly. MuleSoft simplifies the integration of diverse systems,...",2522
Multiview ERP,"Multiview Financial Software provides powerful, scalable ERP solutions that help hundreds of finance teams simplify operations and improve decision-making. With a proven and growing footprint and rate...",4818
"Murj, Inc.","Murj®️ is a cardiac device management software company supporting cardiac implantable electronic device (CIED) remote monitoring, ambulatory cardiac monitoring, and integrated heart failure (HF) progr...","12511-10, 419"
"Mutare, Inc.","Mutare is the Authority in Voice Security for Healthcare and an American Hospital Association Preferred Cybersecurity & Risk Provider for Voice Security. As vishing, spoofed calls, and GenAI-powered s...",10001-01
MV SISTEMAS LTDA.,"With the purpose of empowering society in health care, MV is a multinational company driving digital transformation in the sector. A market leader in Latin America, the company has been developing inn...",1067
My Mountain Mover,"Hire a Virtual Medical Assistant to Power Your Practice #1 Doctor Trusted and Referred. Transform your healthcare staffing with trusted, HIPAA-compliant Medical Virtual Assistants designed to suppor...",318
MyDataMove,MyDataMove is a healthcare data platform company that supports data migration and long-term data access during and after system transitions. The company helps healthcare organizations move data from l...,659
MyWorkDrive,"MyWorkDrive is a secure remote file gateway that enables users to access and collaborate on files stored on both on-premises and cloud-based file servers without a VPN, syncing, or migrating data. It ...",5056
N28 Technologies Inc,"N28 Technologies delivers a full suite of offerings designed to streamline operations, eliminate inefficiencies, and accelerate patient outcomes - powered by AI and Salesforce expertise. We don’t just...",10018-36
Nabla,"Nabla is building a comprehensive AI assistant designed to streamline clinical workflows, reduce administrative burden, and enhance patient care. Nabla produces AI-generated clinical notes in seconds ...",1958
Nanosonics,"Nanosonics is a global leader in infection prevention, transforming High-Level Disinfection (HLD) for ultrasound probe reprocessing. Our trophon® technology delivers automated HLD with new, advanced c...",3073
"Natera, Inc.","We aim to make personalized genetic testing and diagnostics part of the standard of care to protect health and inform earlier, more targeted interventions that lead to longer, healthier lives.",12017
National Committee for Quality Assurance,"NCQA is a private, nonprofit organization dedicated to improving health care quality. NCQA accredits and certifies a wide range of health care organizations. It also recognizes clinicians and practice...","5044, MP11751"
National Science and Technology Council,,4016
Nemours KidsHealth,"Patient education starts at admission. It is a key component to driving exceptional care and better educated patients. At Nemours KidsHealth, we develop and syndicate pediatric content that informs, e...",1626
Neo4j,"Neo4j, the Graph Database & Analytics leader, helps organizations find hidden relationships and patterns across billions of data connections deeply, easily, and quickly. Customers leverage the structu...",10118
"Netskope, Inc.","Netskope is a leader in modern security, networking, and analytics for the cloud and AI era. The unique architecture of its Netskope One platform enables real-time, context-based security for people, ...",10107
"Netsmart Technologies, Inc.",Netsmart is an industry-leading healthcare technology company empowering providers to deliver value-based care to the individuals and communities we serve. The Netsmart CareFabric® platform serves as ...,CD-10
Networking Lounge,,3758
Neurealm,"At Neurealm, we extend what’s possible in healthcare by engineering, modernizing, and operating technology stacks with an AI-first approach. With 2,100+ healthcare technologists, we serve 40+ payers, ...","10001-44, 10018-25, 5049"
Neximatic,Neximatic is the plug-and-play hardware and software solution that automates vital signs streaming and charting for any clinicial envionrment. Our offer seamlessly and securely streams real-time vital...,1219
NextGen Healthcare,"NextGen Healthcare, Inc. is a leading provider of innovative healthcare technology and data solutions. We are reimagining ambulatory healthcare with award-winning EHR, practice management and surround...",10018-16
NiCE,"NiCE is transforming the world with AI that puts people first. Our purpose-built AI-powered platforms automate engagements into proactive, safe, intelligent actions, empowering individuals and organi...",4843
NiCE Cognigy,"NiCE Cognigy delivers AI that works—fast, human, and enterprise-ready. As the leading AI-first CX platform built for real-world scale, we combine Generative and Conversational AI through orchestration...",4305
NIH - Office of Data and Science Strategy,"The Office of Data Science Strategy (ODSS) leads the NIH Strategic Plan for Data Science through scientific, technical, and operational collaboration with the institutes, centers, and offices that com...",12526-04
NIH-NITAAC,The NIH Information Technology Acquisition and Assessment Center (NITAAC) is a designated federal Executive Agent authorized by the Office of Management and Budget (OMB) to administer GWAC vehicles fo...,12526-03
Nihon Kohden America,"Nihon Kohden is a leading medical technology company dedicated to advancing patient care through innovative solutions. With a rich history of over 70 years, Nihon Kohden has become a global leader in ...",3153
Nihon Kohden Digital Health Solutions,"Nihon Kohden Digital Health Solutions is at the forefront of advancing medical information technology to support clinicians with tailored software solutions. With innovative software, Digital Health S...",3264-01
NinjaOne,"NinjaOne, the automated endpoint management platform, delivers visibility, security, and control over all endpoints for more than 30,000 customers in 130+ countries. The cloud-native NinjaOne platf...",10404
Nordic,Nordic helps healthcare organizations harness the power of technology to create healthier systems that lead to healthier businesses. Our global team of 2000+ professionals combine deep clinical exp...,631
Notable,"Deployed at over 12,000 sites of care, Notable is the leading healthcare AI Platform for transforming workforce productivity. Through Notable, millions of once-manual tasks are automated daily in a sa...",4358
Novum,,6636
NuboMed LLC,"Founded in 2012, NuboMed is a leading provider of integrated solutions for IoT+ Smart Hospitals. Using the core technology of algorithms, sensors, and IoT, NuboMed started by researching and developin...",5153
Numeracle,"Numeracle's Entity Identity Management™ (EIM) platform puts brands and brand managers in direct control of identity as applied to outbound communications. EIM is used to establish Verified Identity™, ...",3264-16
NursIT Institute GmbH,"nursIT develops AI-powered software for clinical documentation. Our flagship platform, careIT X, is a Clinical AI Agent System (KAAS) that connects clinical workflows, FHIR®-native data management, an...",4565
Nutanix,"Healthcare organizations around the world use Nutanix to power their clinical and business applications and data. Running on Nutanix Cloud Platform, our software integrates the cloud operating model a...","6026, MP11550"
NutKase Accessories,"NutKase Accessories is a pioneering brand at the forefront of providing innovative and durable solutions for protecting and enhancing your iPads, iPhones, or other technology assets. Established with ...",3159
Nuvilab,"Nuvilab is a healthcare AI company making the patient food intake visible, measurable, and clinically actionable. Our computer-vision tray analysis platform captures what patients actually receive and...",10717
OakTruss Group,"OakTruss Group safeguards your company at the intersection of cybersecurity, AI, and data. We support organizations with integrated security leadership. Our comprehensive advisory services, leadership...",10001-30
"OBIX by Clinical Computer Systems, Inc.","For over 30 years, OBIX has focused exclusively on its perinatal software solution designed for the unique demands of labor and delivery. The OBIX Perinatal Data System is a comprehensive, electronic ...",12511-06
OCHIN,OCHIN is a nonprofit leader in equitable health care innovation and a trusted partner to a growing national provider network. With the largest collection of community health data in the country and mo...,641
Octave,"Octave delivers innovative physical security solutions that enable organizations to better protect people, properties and assets. They help to identify risks and vulnerabilities, detect events and inc...",1364
Odin Health,"Odin Health redefines healthcare interoperability with an agentic, intelligence-driven platform that powers 500 million+ outpatient visits across 2,000+ healthcare organisations worldwide. Built on a ...",3961
Office Ally,"Office Ally is a healthcare SaaS company who partners with medical providers, small to large practices, IPA’s, healthcare billing companies, hospitals, and health systems to deliver various software s...",4811
"Olea Kiosks, Inc.","Olea Kiosks streamlines patient check-in, payments, and visitor management with intuitive self-service kiosks. Designed for healthcare, our kiosks enhance efficiency, reduce wait times, and improve th...",643
OLOID INC.,"OLOID is a passwordless authentication platform tailored for frontline & mobile employees. Fortune 500 companies across healthcare, pharmaceuticals, manufacturing, retail, and other frontline industri...",2268
OLYMPUS EUROPA SE & CO. KG,,10018-14
"Onbe, Inc","The payouts gateway that enables clients to outsource their entire B2C disbursement operation, relieving them of the cost, complexity and risk that come with orchestrating these payments in-house, del...",4807
OneCare Health,,717-16
OneSource Cloud,"OneSource Cloud provides secure, healthcare-focused private AI infrastructure built for hospitals, research institutions, and digital health companies. Based in Texas, we deliver dedicated GPU cluster...",11423
Oneview Healthcare,"Oneview is the connected care experience company – a global leader in patient, clinician and hospital system experience solutions. Our intuitive platform is thoughtfully designed to integrate with EHR...",3870
"ONYX Healthcare USA, Inc.","As a manufacturer dedicated to servicing the medical industry in the USA, Canada, and Latin America, Onyx Healthcare USA specializes in production of computers and peripherals for medical applications...","2248, 2253"
Opalite Health,"Opalite makes it easy for healthcare providers to communicate with non-English speaking patients. We’re built to work inside existing clinical workflows, so providers can communicate in real time with...",717-15
OpenAI,,MP120934
Openlayer,Openlayer is the AI governance and observability platform that accelerates the evaluation and observability of agentic systems through 100+ automated tests and real-time guardrails that prevent prompt...,10018-03
Openscreen,"Openscreen is an asset intelligence platform that connects physical healthcare assets —such as medical devices, equipment, and facilities— at the point of care, to real-time digital workflows and back...",1771
OpenText,"OpenText can help you tackle the most complex digital transformation programs with confidence. Meet with us to talk more about how our offerings such as SaaS fax, data capture, digital signature, pro...",1867
Opsin,"Opsin secures enterprise AI before data exposure occurs. It detects oversharing, misconfigurations, sensitive data leakage, and risky behavior across AI copilots and agents, including Microsoft 365 Co...",10001-53
Optimum Healthcare IT,"Optimum Healthcare IT is a Best in KLAS healthcare IT digital transformation and consulting firm based in Jacksonville Beach, Florida. Optimum's comprehensive service offerings include Enterprise Appl...",MP11356
Optum,"At Optum, we are creating a higher-performing, value-oriented and more connected health system to help every person in every community. Bringing together clinical expertise, technology and data to mak...","12511-02, 3224"
Oracle Health and Life Sciences,"Oracle offers suites of integrated applications plus secure, autonomous infrastructure in the Oracle Cloud. By connecting clinical, operational, and financial data across the healthcare ecosystem, we ...","4022, VHQ13947"
Orases,Orases is a custom software and AI solutions company that blends deep technical expertise with healthcare industry experience and AI-enabled development practices to help medical providers and healtht...,4466
Ordinatrum Health,"Ordinatrum Health is a healthcare technology company transforming critical care through intelligent, data-driven solutions. Its FDA-cleared platform unifies medical device data, clinical systems, and ...",1670
ORDR,"Ordr is the leader in AI-powered asset intelligence, trusted by top organizations across healthcare, pharmaceuticals, manufacturing, and financial services. With insights from over 100 million asset t...",11204
ORION MEDICAL SOLUTIONS,"Owned and operated by Firefighter Paramedics, Holliday Medical created a software called ORION that delivers real time, end to end visibility from the field to the hospital. The platform combines AI d...",717-26
"ORSynx, Inc.",ORSynx is a healthcare SaaS platform delivering real-time perioperative execution for operating rooms. It addresses one of hospitals’ most costly operational gaps: OR inefficiency caused by fragmented...,4857
OrthoPoP Inc.,"OrthoPoP offers an AI-enabled, clinician-designed musculoskeletal (MSK) decision-confidence and education platform that helps people, healthcare providers, and care teams make smarter, timelier MSK de...",11323
P&H Casters,,4568
PadHolder Products,"Padholder designs and manufactures tablet enclosures that bridge hardware and software, turning tablets into reliable tools for real work. Our mission is to make technology easier to adopt, more durab...",1062
PainChek,"PainChek® is an FDA De Novo–granted, AI‑enabled medical device that gives a voice to people who cannot verbalize their pain. Using facial recognition and a guided behavioral framework, PainChek identi...",4765
"Palo Alto Networks, Inc.","As the world’s cybersecurity leader and proud Platinum Corporate Member of HIMSS, Palo Alto Networks is committed to the Healthcare sector. Our Engineers design solutions specifically for healthcare t...","10426, 4853, VHQ14149"
PAN-Biotech GmbH,"PAN-Biotech offers high-quality cell culture media, sera, and custom manufacturing sterile liquid solutions. This includes state-of-the-art cell culture products for research and preclinical applicati...",4058
Parachute Health,"Parachute Health is the leading software platform for digital DME orders, with a network of more than 3,000 supplier locations and 270,000 eSigning clinicians across more than 70,000 facilities in all...",4400-15
Parallels,"Parallels® RAS is a secure, cost-effective application and desktop virtualization solution, enabling healthcare organizations to support hybrid and remote workforces across any device or location with...",3262
Parlance,"Parlance delivers HIPAA-compliant AI voice assistants that transform healthcare switchboard and call center operations by automating workflows at the digital front door. Leading health systems, enterp...",3222
